File,Detect,payload time,payload,payload size,snr,error
155716apr25_3.5Khz_B05.wav,0.018471,,,,6.121,No data
155716apr25_3.5Khz_B06.wav,0.018471,,,,4.503,No data
155716apr25_3.5Khz_B07.wav,0.018471,,,,4.263,No data
155716apr25_3.5Khz_B08.wav,0.018471,,,,5.417,No data
155716apr25_3.5Khz_B09.wav,0.018471,,,,5.189,No data
155716apr25_3.5Khz_B10.wav,0.018471,,,,4.507,No data
155716apr25_3.5Khz_B11.wav,0.018471,,,,-nan(ind),No data
155716apr25_3.5Khz_B12.wav,0.018471,,,,5.908,No data
155716apr25_3.5Khz_B13.wav,0.018471,,,,9.425,No data
155716apr25_3.5Khz_B14.wav,0.018471,,,,4.170,No data
155716apr25_3.5Khz_B15.wav,0.018471,,,,4.269,No data
