# Id, Center Frequency (Hz), Bandwidth (Hz), Name
1,3500,1000, Janus 3.5k (BW 1k)
2,3500,1500, Janus 3.5k (BW 1.5k)
3,10500,3000, Janus 10.5k (BW 3k)
4,10500,3500, Janus 10.5k (BW 3.5k)
5,10500,3250, Janus 10.5k (BW 3.25k)
6,22520,4160, Modified JANUS band (20-24 kHz)
